,Folio,FP,TC,Importe,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
0,31,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,38,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,341932,99.0,1.0,5551.38,888.22,0.0,0.0,6439.6,6439.6
3,341933,99.0,1.0,5551.98,888.32,0.0,0.0,6440.299999999999,6440.3
4,342205,99.0,1.0,8454.37,,0.0,0.0,9807.070000000002,9807.07
5,0001010100750847116902,3.0,1.0,490.0,78.4,0.0,0.0,568.4,568.4
6,007817297284,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,56,99.0,1.0,4543.1,726.9,,0.0,5213.21,5213.21
8,90864603,3.0,1.0,1717.25,0.0,0.0,0.0,1717.25,1717.25
9,7020,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,201886,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,201887,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,202118,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4535,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4640966,4.0,1.0,2265.8399999999997,37.11,0.0,0.0,2302.95,2302.95
15,22022120028311,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,155502,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,,99.0,1.0,2623.03,401.28,0.0,0.0,3024.3100000000004,3024.31
18,1144178,3.0,1.0,428.0,68.48,0.0,0.0,496.48,496.48
19,16165,3.0,1.0,5000.0,0.0,0.0,0.0,5000.0,5000.0
20,16173,3.0,1.0,,0.0,0.0,0.0,,
21,420221201898904,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,420221201898904,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
23,7261,99.0,1.0,2223.0,355.68,0.0,0.0,2578.68,2578.68
24,75812,99.0,1.0,1960.0,313.6,0.0,0.0,2273.6,2273.6
25,1184,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,3126,3.0,1.0,2231.7,357.07,0.0,0.0,2588.77,2588.77
27,34827,1.0,1.0,107.82,17.25,0.0,0.0,125.07,125.07
28,20922111,3.0,1.0,1452.0,232.32,0.0,0.0,1684.32,1684.32
29,4642855,4.0,1.0,750.98,44.32,0.0,0.0,795.3000000000001,795.3
30,4642856,4.0,1.0,349.0,0.0,0.0,0.0,349.0,349.0
31,75818,99.0,1.0,,,0.0,0.0,,
32,78361,1.0,1.0,604.73,96.76,0.0,0.0,701.49,701.49
33,34532337,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,4546,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,4547,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,18845,1.0,1.0,406.55,65.05,0.0,0.0,471.6,471.6
37,75827,99.0,1.0,6847.94,1095.67,0.0,0.0,7943.61,7943.61
38,1147497,3.0,1.0,335.0,53.6,0.0,0.0,388.6,388.6
39,2000744898,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,90682,99.0,1.0,3900.0,624.0,0.0,0.0,4524.0,4524.0
41,154616,99.0,1.0,,,0.0,0.0,,
42,4646622,4.0,1.0,1703.31,272.52,0.0,0.0,1975.83,1975.83
